Topic,Date Published,Article Name,Author,Link
Cryptography,01/07/2020,A new efficient constant-time hashing to some Barreto-Naehrig curves (including BN256 and BN512),Dimitri Koshelev,https://ethresear.ch/t/a-new-efficient-constant-time-hashing-to-some-barreto-naehrig-curves-including-bn256-and-bn512/7640
Cryptography,15/07/2020,"Bitcoin: ""safegcd"" field and scalar inversion",Peter Dettman,https://github.com/bitcoin-core/secp256k1/pull/767
Cryptography,23/08/2020,Optimised Binary GCD for Modular Inversion,Thomas Pornin,https://eprint.iacr.org/2020/972
Cryptography,31/01/2021,"Surveying Precomputation Methods in Cryptography, Request for Help",Paul D,https://ethresear.ch/t/surveying-precomputation-methods-in-cryptography-request-for-help/8606
Cryptography,01/02/2021,EVM384 Update 5: First Gas Cost Estimates,"Alex Beregszaszi, Pawel Bylica, Casey Detrio, Paul Dworzanski, Jared Wasinger",https://notes.ethereum.org/@poemm/evm384-update5#Background-on-EVM-Gas-Costs
Cryptography,01/02/2021,BLS In Ethereum,Micah Zoltu,https://notes.ethereum.org/@GW1ZUbNKR5iRjjKYx6_dJQ/Skxf3tNcg_
Cryptography,14/02/2021,Constantine: Optimizations,Mamy Ratsimbazafy,https://github.com/mratsim/constantine/blob/master/docs/optimizations.md
Cryptography,29/03/2021,ERC-3450: Standard for Applying Shamir's to BIP-39 Mnemonics,Daniel Streit,https://ethereum-magicians.org/t/erc-3450-standard-for-applying-shamirs-to-bip-39-mnemonics/5844
Cryptography,01/05/2021,Benchmarking pairing-friendly elliptic curves libraries,Youssef El Housni,https://hackmd.io/@zkteam/eccbench
Cryptography,01/08/2021,BLS12-381 For The Rest Of Us,Ben Edgington,https://hackmd.io/@benjaminion/bls12-381#Security-level
EVM,01/03/2021,EVM Encapsulation Format,Alex Beregszaszi,https://notes.ethereum.org/@axic/evm-object-format
EVM,15/03/2021,Thoughts on EVM Encapsulation Format,Chris Eth,https://notes.ethereum.org/BgA648JCQ6uVHPUVFrLzkQ?view
EVM,15/03/2021,EVM Object Format (EOF) Discussion,Alex Beregszaszi,https://notes.ethereum.org/t-1tLFnLSKCtLZpb-Rw0IA?view
EVM,16/03/2021,EIP-3540: EVM Object Format (EOF) v1,"Alex Beregszaszi, Pawel Bylica, Andrei Maiboroda",https://eips.ethereum.org/EIPS/eip-3540
EVM,16/03/2021,EIP-3541: Reject new contract code starting with the 0xEF byte,"Alex Beregszaszi, Pawel Bylica, Andrei Maiboroda, Alexey Akhunov, Christian Reitwiessner, Martin Swende",https://eips.ethereum.org/EIPS/eip-3541
EVM,23/03/2021,EIP-3670: EOF - Code Validation,"Alex Beregszaszi, Pawel Bylica, Andrei Maiboroda",https://eips.ethereum.org/EIPS/eip-3670
EVM,01/06/2021,Memory Copying in Contracts Deployed on Ethereum,Jared Wasinger,https://notes.ethereum.org/@ipsilon/evm-mcopy-analysis
EVM,23/06/2021,EIP-3690: EOF - JUMPDEST Table,"Alex Beregszaszi, Pawel Bylica, Andrei Maiboroda",https://eips.ethereum.org/EIPS/eip-3690
EVM,01/07/2021,Account Abstraction with EVM Object Format,Alex Beregszaszi,https://notes.ethereum.org/@axic/account-abstraction-with-eof
EVM,05/07/2021,Validation Focused Smart Contract Wallets,Matt,https://ethereum-magicians.org/t/validation-focused-smart-contract-wallets/6603
EVM,16/07/2021,EIP-4200: Static relative jumps,"Alex Beregszaszi, Pawel Bylica, Andrei Maiboroda",https://eips.ethereum.org/EIPS/eip-4200
EVM,25/09/2021,Everything about the EVM object format (EOF),Alex Beregszaszi,https://notes.ethereum.org/@ipsilon/evm-object-format-overview
Fee Market,18/03/2018,EIP 1559 and Fee Structure (Date unknown),Vitalik Buterin,https://vitalik.ca/files/misc_files/EIP_1559_Fee_Structure.pdf
Fee Market,01/07/2018,First and second-price auctions and improved transaction-fee markets,Vitalik Buterin,https://ethresear.ch/t/first-and-second-price-auctions-and-improved-transaction-fee-markets/2410
Fee Market,04/03/2019,Fixing the Ethereum Fee Market (EIP-1559),Eric Conner,https://medium.com/@eric.conner/fixing-the-ethereum-fee-market-eip-1559-9109f1c1814b
Fee Market,15/04/2019,Blockchain Resource Pricing,Vitalik Buterin,https://github.com/ethereum/research/blob/master/papers/pricing/ethpricing.pdf
Fee Market,24/06/2020,Analysis of EIP-2593 (Escalator),"Hasu, Georgios Konstantopoulos",https://insights.deribit.com/market-research/analysis-of-eip-2593-escalator/
Fee Market,30/06/2020,A World without (block) limits,Micah Zoltu,https://medium.com/coinmonks/a-world-without-block-limits-f3ecc926cd68
Fee Market,22/08/2020,EIP-1559 51% Attacks - Should you live in fear?,Micah Zoltu,https://medium.com/coinmonks/eip-1559-51-attacks-should-you-live-in-fear-d817be3759dc
Fee Market,07/10/2020,EIP-1559 Community Outreach Report,Tim Beiko,https://medium.com/ethereum-cat-herders/eip-1559-community-outreach-report-aa18be0666b5
Fee Market,01/11/2020,Legacy vs EIP-1559 users in a post EIP-1559 world,Michal Komorowski,https://github.com/NethermindEth/research/blob/main/legacyTransactions.ipynb
Fee Market,06/11/2020,Can ETH become deflationary? EIP 1559 Explained,Finematics,https://finematics.com/ethereum-eip-1559-explained/
Fee Market,07/11/2020,A Tale Of Two Pricing Schemes,Micah Zoltu,https://medium.com/coinmonks/a-tale-of-two-pricing-schemes-dc9c8717906
Fee Market,01/12/2020,Transaction Fee Mechanism Design for the Ethereum Blockchain,Tim Roughgarden,http://timroughgarden.org/papers/eip1559.pdf
Fee Market,01/01/2021,EIP-1559 Transaction Sorting: Overview,Ansgar Dietrichs,https://hackmd.io/@adietrichs/1559-transaction-sorting
Fee Market,12/01/2021,The manipulation of the basefee in the context of EIP-1559,Michal Komorowski,https://medium.com/nethermind-eth/the-manipulation-of-the-basefee-in-the-context-of-eip-1559-4b082898271c
Fee Market,20/01/2021,EIP-1559 Miner FAQ,Micah Zoltu,https://hackmd.io/S6kW1MjvT8-SjmaoZTyaJw
Fee Market,31/01/2021,What does a Miner revolt look like?,Micah Zoltu,https://medium.com/coinmonks/what-does-a-miner-revolt-look-like-a99216fe270e
Fee Market,01/02/2021,Why I think EIP 1559 block variance is nothing to worry about,Vitalik Buterin,https://notes.ethereum.org/@vbuterin/eip_1559_spikes
Fee Market,01/02/2021,EIP-1559: Transition,Barnabe Monnot,https://github.com/ethereum/abm1559/blob/master/notebooks/transition1559.ipynb
Fee Market,17/02/2021,Congestion Control and EIP-1559,Barnabe Monnot,https://barnabe.substack.com/p/congestion-control-and-eip1559
Fee Market,22/02/2021,Why Miners will accept EIP-1559,"Hasu, Georgios Konstantopoulos",https://insights.deribit.com/market-research/miners-will-accept-eip-1559-here-is-why/
Fee Market,26/02/2021,Establishing Bounds for Miner Revenue in EIP-1559,"Hasu, Georgios Konstantopoulos",https://insights.deribit.com/market-research/establishing-bounds-for-miner-revenue-in-eip-1559/
Fee Market,01/03/2021,EIP-1559 Transaction Sorting Part 2,Ansgar Dietrichs,https://hackmd.io/@adietrichs/1559-transaction-sorting-part2
Fee Market,16/03/2021,EIP-1559 Outreach Summary,Tim Beiko,https://github.com/ethereum-cat-herders/1559-outreach/blob/main/README.md
Fee Market,20/05/2021,EIP-1559 Transaction Pool Design Improvement Proposal,Zsolt Felfoldi,https://gist.github.com/zsfelfoldi/9607ad248707a925b701f49787904fd6
Fee Market,13/06/2021,EIP-1559 - Agent-based Simulations,Barnabe Monnot,https://github.com/ethereum/abm1559/blob/master/notebooks/stationary1559.ipynb
Fee Market,13/06/2021,EIP-1559: Strategic User,Barnabe Monnot,https://github.com/ethereum/abm1559/blob/master/notebooks/strategicUser.ipynb
Fee Market,13/06/2021,EIP-1559: Floating Escalator,Barnabe Monnot,https://github.com/ethereum/abm1559/blob/master/notebooks/floatingEscalator.ipynb
Fee Market,01/08/2021,Why 1559?,Tim Beiko,https://hackmd.io/@timbeiko/why-1559
Fee Market,01/09/2021,Gas: Analysis of I-Smoothing,Sam Bacha,https://hackmd.io/@8Lo6sisiSrSosbAxVPXKgQ/SyQoEUbzu
Fee Market,,All you need to know about EIP-1559 and more (Date unknown),Uncommon Core,https://uncommoncore.co/eip-1559/
Formal Methods,31/08/2021,Act 0.1 Released,David Terry,https://fv.ethereum.org/2021/08/31/act-0.1/#automated-spec-generation
Formal Methods,31/08/2021,Formal Verification Blog,Various,https://fv.ethereum.org
General,27/10/2015,EIP-1: EIP Purpose and Guidelines,"Martin Becze, Hudson Jameson",https://eips.ethereum.org/EIPS/eip-1
General,01/02/2016,Ethereum Block Architecture,atomh33ls,https://ethereum.stackexchange.com/questions/268/ethereum-block-architecture
General,01/03/2018,Ethereum EVM Illustrated,Takenobu T,https://takenobu-hs.github.io/downloads/ethereum_evm_illustrated.pdf
General,24/06/2018,ERC-1155: The Crypto Item Standard,Witek Radomski,https://blog.enjincoin.io/erc-1155-the-crypto-item-standard-ac9cf1c5a226
General,01/10/2020,Ethereum 2.0 Info,Ben Edgington,https://eth2.info/
General,06/11/2020,JSON RPC API,Chris Ward,https://eth.wiki/json-rpc/API
